"NAME";"(O)NAME";"DATE_OF_BIRTH";"(O)DATE_OF_BIRTH";"PLACE_OF_BIRTH";"(O)PLACE_OF_BIRTH"
"Kelly Olynyk";"Kelly Olynyk";"1991-04-19";"1991-04-19";"Toronto";"canada"
"Brandon Bass";"Brandon Bass";"1985-04-30";"1985-04-30";"Baton Rouge";"batonrouge"
"Phil Pressey";"Phil Pressey";"1991-02-17";"1991-02-17";"Dallas";"dallas"
"Jeff Green";"Jeff Green";"1986-08-28";"1986-08-28";"Cheverly";"cheverly"
"Jared Sullinger";"Jared Sullinger";"1992-03-04";"1992-03-04";"Columbus";"columbus"
"Rajon Rondo";"Rajon Rondo";"1986-02-22";"1986-02-22";"Louisville";"louisville"
"Kris Humphries";"Kris Humphries";"1985-02-06";"1985-02-06";"Minneapolis";"chaska"
"Vítor Faverani";"Vitor Faverani";"1988-05-05";"1988-05-05";"Porto Alegre";"brazil"
"Joe Johnson";"Joe Johnson";"1981-06-29";"1981-06-29";"Little Rock";"littlerock"
"Kevin Garnett";"Kevin Garnett";"1976-05-19";"1976-05-19";"Greenville";"mauldin"
"Deron Williams";"Deron Williams";"1984-06-26";"1984-06-26";"Parkersburg";"parkersburg"
"Nerlens Noel";"Nerlens Noel";"1994-04-10";"1994-04-10";"Malden";"malden"
"Brook Lopez";"Brook Lopez";"1988-04-01";"1988-04-01";"North Hollywood";"northhollywood"
"Amir Johnson";"Amir Johnson";"1987-05-01";"1987-05-01";"Los Angeles";"losangeles"
"Rudy Gay";"Rudy Gay";"1986-08-17";"1986-08-17";"Baltimore";"baltimore"
"J. R. Smith";"J.R. Smith";"1985-09-09";"1985-09-09";"Freehold Borough";"freehold"
"Cole Aldrich";"Cole Aldrich";"1988-10-31";"1988-10-31";"Burnsville";"burnsville"
"Pablo Prigioni";"Pablo Prigioni";"1977-05-17";"1977-03-17";"Río Tercero";"argentina"
"Stephen Curry";"Stephen Curry";"1988-03-14";"1988-03-14";"Akron";"charlotte"
"Carmelo Anthony";"Carmelo Anthony";"1984-05-29";"1984-05-29";"Red Hook";"newyork"
"Andrew Bogut";"Andrew Bogut";"1984-11-28";"1984-11-28";"Endeavour Hills";"australia"
"Tyson Chandler";"Tyson Chandler";"1982-10-02";"1982-10-02";"Hanford";"hanford"
"Raymond Felton";"Raymond Felton";"1984-06-26";"1984-06-26";"Marion";"marion"
"Iman Shumpert";"Iman Shumpert";"1990-06-26";"1990-06-26";"Oak Park";"oakpark"
"Andrea Bargnani";"Andrea Bargnani";"1985-10-26";"1985-10-26";"Rome";"italy"
"Thaddeus Young";"Thaddeus Young";"1988-06-21";"1988-06-21";"New Orleans";"neworleans"
"Tony Wroten";"Tony Wroten";"1993-04-13";"1993-04-13";"Renton";"seattle"
"Nick Young";"Nick Young";"1985-06-01";"1985-06-01";"Los Angeles";"losangeles"
"Jodie Meeks";"Jodie Meeks";"1987-08-21";"1987-08-21";"Nashville";"nashville"
"Jimmy Butler";"Jimmy Butler";"1989-09-14";"1989-09-14";"Houston";"houston"
"Jarrett Jack";"Jarrett Jack";"1983-10-28";"1983-10-28";"Fort Washington";"fortwashington"
"Archie Goodwin";"Archie Goodwin";"1994-08-17";"1994-08-17";"Little Rock";"littlerock"
"Seth Curry";"Seth Curry";"1990-08-23";"1990-08-23";"Charlotte";"charlotte"
"Marcus Morris";"Marcus Morris";"1989-09-02";"1989-09-02";"Philadelphia";"philadelphia"
"Ish Smith";"Ish Smith";"1988-07-05";"1988-07-05";"Charlotte";"charlotte"
"Miles Plumlee";"Miles Plumlee";"1988-09-01";"1988-09-01";"Fort Wayne";"fortwayne"
"Kentavious Caldwell-Pope";"Kentavious Caldwell-Pope";"1993-02-18";"1993-02-18";"Thomaston";"thomaston"
"Greg Monroe";"Greg Monroe";"1990-06-04";"1990-06-04";"Gretna";"harvey"
"Eric Bledsoe";"Eric Bledsoe";"1989-12-09";"1989-12-09";"Birmingham";"birmingham"
"Ben McLemore";"Ben McLemore";"1993-02-11";"1993-02-11";"St. Louis";
"Aaron Gray";"Aaron Gray";"1984-12-07";"1984-12-07";"Tarzana";"tarzana"
"Jeff Adrien";"Jeff Adrien";"1986-02-10";"1986-02-10";"Brookline";"brookline"
"Ramon Sessions";"Ramon Sessions";"1986-04-11";"1986-04-11";"Myrtle Beach";"myrtlebeach"
"Kirk Hinrich";"Kirk Hinrich";"1981-01-02";"1981-01-02";"Sioux City";"siouxcity"
"Luol Deng";"Luol Deng";"1985-04-16";"1985-04-16";"Wau";"sudan"
"Khris Middleton";"Khris Middleton";"1991-08-12";"1991-08-12";"Charleston";"charleston"
"Larry Sanders";"Larry Sanders";"1988-11-21";"1988-11-21";"Fort Pierce";"fortpierce"
"Tony Allen";"Tony Allen";"1982-01-11";"1982-01-11";"Chicago";"chicago"
"Quincy Pondexter";"Quincy Pondexter";"1988-03-10";"1988-03-10";"Fresno";"fresno"
"Vince Carter";"Vince Carter";"1977-01-26";"1977-01-26";"Daytona Beach";"daytonabeach"
"Samuel Dalembert";"Samuel Dalembert";"1981-05-10";"1981-05-10";"Port-au-Prince";"haiti"
"Monta Ellis";"Monta Ellis";"1985-10-26";"1985-10-26";"Jackson";"jackson"
"James Harden";"James Harden";"1989-08-26";"1989-08-26";"Los Angeles";"bellflower"
"Tyreke Evans";"Tyreke Evans";"1989-09-19";"1989-09-19";"Chester";"chester"
"Luke Babbitt";"Luke Babbitt";"1989-06-20";"1989-06-20";"Cincinnati";"cincinnati"
"Jrue Holiday";"Jrue Holiday";"1990-06-12";"1990-06-12";"Chatsworth";"missionhills"
"Jon Leuer";"Jon Leuer";"1989-05-14";"1989-05-14";"Long Lake";"longlake"
"Zach Randolph";"Zach Randolph";"1981-07-16";"1981-07-16";"Marion";"marion"
"Josh McRoberts";"Josh McRoberts";"1987-02-28";"1987-02-28";"Indianapolis";"indianapolis"
"Kawhi Leonard";"Kawhi Leonard";"1991-06-29";"1991-06-29";"Los Angeles";"losangeles"
"Bismack Biyombo";"Bismack Biyombo";"1992-08-28";"1992-08-28";"Lubumbashi";"zaire"
"Malcolm Thomas";"Malcolm Thomas";"1988-11-08";"1988-11-08";"Columbia";"columbia"
"Kyle Korver";"Kyle Korver";"1981-03-17";"1981-03-17";"Lakewood";"lakewood"
"Shelvin Mack";"Shelvin Mack";"1990-04-22";"1990-04-22";"Lexington";"lexington"
"Chris Andersen";"Chris Andersen";"1978-07-07";"1978-07-07";"Long Beach";"iola"
"Ray Allen";"Ray Allen";"1975-07-20";"1975-07-20";"Merced";"merced"
"Gustavo Ayón";"Gustavo Ayon";"1985-04-01";"1985-04-01";"Tepic";"mexico"
"Maurice Harkless";"Maurice Harkless";"1993-05-11";"1993-05-11";"Queens";"queens"
"Dewayne Dedmon";"Dewayne Dedmon";"1989-08-12";"1989-08-12";"Lancaster";"lancaster"
"Ronnie Price";"Ronnie Price";"1983-06-21";"1983-06-21";"Friendswood";"friendswood"
"JJ Hickson";"J.J. Hickson";"1988-09-04";"1988-09-04";"Atlanta";"atlanta"
"Victor Oladipo";"Victor Oladipo";"1992-05-04";"1992-05-04";"Upper Marlboro";"silverspring"
"Kyle O'Quinn";"Kyle O'Quinn";"1990-03-26";"1990-03-26";"Jamaica";"queens"
"JaVale McGee";"JaVale McGee";"1988-01-19";"1988-01-19";"Flint";"flint"
"Kevin Martin";"Kevin Martin";"1983-02-01";"1983-02-01";"Zanesville";"zanesville"
"Damian Lillard";"Damian Lillard";"1990-07-15";"1990-07-05";"Oakland";"oakland"
"Ronny Turiaf";"Ronny Turiaf";"1983-01-13";"1983-01-13";"Le Robert";
"Wesley Matthews";"Wesley Matthews";"1986-10-14";"1986-10-14";"San Antonio";"sanantonio"
"Robin Lopez";"Robin Lopez";"1988-04-01";"1988-04-01";"North Hollywood";"northhollywood"
"Russell Westbrook";"Russell Westbrook";"1988-11-12";"1988-11-12";"Long Beach";"longbeach"
"Trey Burke";"Trey Burke";"1992-11-12";"1992-11-12";"Columbus";"columbus"
"Courtney Lee";"Courtney Lee";"1985-10-03";"1985-10-03";"Indianapolis";"indianapolis"
"Chris Johnson";"Chris Johnson";"1990-04-29";"1990-04-29";"Columbus";"orlando"
"Gerald Wallace";"Gerald Wallace";"1982-07-23";"1982-07-23";"Sylacauga";"sylacauga"
"MarShon Brooks";"MarShon Brooks";"1989-01-26";"1989-01-26";"Long Branch";"longbranch"
"Keith Bogans";"Keith Bogans";"1980-05-12";"1980-05-12";"Washington, D.C.";"washington"
"Vander Blue";"Vander Blue";"1992-07-17";"1992-07-17";"Milwaukee";"milwaukee"
"Chris Babb";"Chris Babb";"1990-02-14";"1990-02-14";"Topeka";"wichita"
"Joel Anthony";"Joel Anthony";"1982-08-09";"1982-08-09";"Montreal";"canada"
"Avery Bradley";"Avery Bradley";"1990-11-26";"1990-11-26";"Tacoma";"tacoma"
"Jordan Crawford";"Jordan Crawford";"1988-10-23";"1988-10-23";"Detroit";"detroit"
"Jerryd Bayless";"Jerryd Bayless";"1988-08-20";"1988-08-20";"Phoenix";"phoenix"
