ID;NAME;IMAGE;NUMBER;MEASURES;TEAM;INFO
00001;Kelly Olynyk;http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2489663.png&w=350&h=254;#41 C;"7' 0"", 238 lbs";Boston Celtics;[BornApr 19, 1991 in Canada (Age: 23)|Drafted2013: 1st Rnd, 13th by DAL|CollegeGonzaga|]
00002;Brandon Bass;http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2745.png&w=350&h=254;#30 PF;"6' 8"", 250 lbs";Boston Celtics;[BornApr 30, 1985 in Baton Rouge, LA (Age: 29)|Drafted2005: 2nd Rnd, 33rd by NO|CollegeLSU|Experience8 years|]
00003;Phil Pressey;http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2530722.png&w=350&h=254;#26 PG;"5' 11"", 175 lbs";Boston Celtics;[BornFeb 17, 1991 in Dallas, TX (Age: 23)|CollegeMissouri|]
00004;Jeff Green;http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3209.png&w=350&h=254;#8 SF;"6' 9"", 235 lbs";Boston Celtics;[BornAug 28, 1986 in Cheverly, MD (Age: 27)|Drafted2007: 1st Rnd, 5th by BOS|CollegeGeorgetown|Experience5 years|]
00005;Jared Sullinger;http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6624.png&w=350&h=254;#7 C;"6' 9"", 260 lbs";Boston Celtics;[BornMar 4, 1992 in Columbus, OH (Age: 22)|Drafted2012: 1st Rnd, 21st by BOS|CollegeOhio State|Experience1 year|]
00006;Rajon Rondo;http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3026.png&w=350&h=254;#9 PG;"6' 1"", 186 lbs";Boston Celtics;[BornFeb 22, 1986 in Louisville, KY (Age: 28)|Drafted2006: 1st Rnd, 21st by PHX|CollegeKentucky|Experience7 years|]
00007;Kris Humphries;http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2433.png&w=350&h=254;#43 C;"6' 9"", 235 lbs";Boston Celtics;[BornFeb 6, 1985 in Chaska, MN (Age: 29)|Drafted2004: 1st Rnd, 14th by UTAH|CollegeMinnesota|Experience9 years|]
00008;Vitor Faverani;http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3046453.png&w=350&h=254;#38 C;"6' 11"", 260 lbs";Boston Celtics;[BornMay 5, 1988 in Brazil (Age: 26)|CollegeNone|]
00009;Joe Johnson;http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1007.png&w=350&h=254;#7 SG;"6' 7"", 240 lbs";Brooklyn Nets;[BornJun 29, 1981 in Little Rock, AR (Age: 32)|Drafted2001: 1st Rnd, 10th by BOS|CollegeArkansas|Experience12 years|]
00010;Kevin Garnett;http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/261.png&w=350&h=254;#2 C;"6' 11"", 253 lbs";Brooklyn Nets;[BornMay 19, 1976 in Mauldin, SC (Age: 38)|Drafted1995: 1st Rnd, 5th by MIN|CollegeNone|Experience18 years|]
