"NAME";"OUTCOME";"ORIGIN_FIELD";"FREEBASE_FIELD"
"Kelly Olynyk";"SEMICORRECT";"canada";"toronto"
"Brandon Bass";"CORRECT";"";""
"Phil Pressey";"CORRECT";"";""
"Jeff Green";"CORRECT";"";""
"Jared Sullinger";"CORRECT";"";""
"Rajon Rondo";"CORRECT";"";""
"Kris Humphries";"SEMICORRECT";"chaska";"minneapolis"
"Vitor Faverani";"UNCORRECT";"Vitor Faverani";"Vítor Faverani"
"Joe Johnson";"CORRECT";"";""
"Kevin Garnett";"SEMICORRECT";"mauldin";"greenville"
"Deron Williams";"CORRECT";"";""
"Nerlens Noel";"CORRECT";"";""
"Brook Lopez";"CORRECT";"";""
"Amir Johnson";"CORRECT";"";""
"Rudy Gay";"CORRECT";"";""
"J.R. Smith";"UNCORRECT";"J.R. Smith";"J. R. Smith"
"Cole Aldrich";"CORRECT";"";""
"Pablo Prigioni";"UNCORRECT";"1977-03-17";"1977-05-17"
"Stephen Curry";"SEMICORRECT";"charlotte";"akron"
"Carmelo Anthony";"SEMICORRECT";"newyork";"redhook"
"Andrew Bogut";"SEMICORRECT";"australia";"endeavourhills"
"Tyson Chandler";"CORRECT";"";""
"Raymond Felton";"CORRECT";"";""
"Iman Shumpert";"CORRECT";"";""
"Andrea Bargnani";"SEMICORRECT";"italy";"rome"
"Thaddeus Young";"CORRECT";"";""
"Tony Wroten";"SEMICORRECT";"seattle";"renton"
"Nick Young";"CORRECT";"";""
"Jodie Meeks";"CORRECT";"";""
"Jimmy Butler";"CORRECT";"";""
"Jarrett Jack";"CORRECT";"";""
"Archie Goodwin";"CORRECT";"";""
"Seth Curry";"CORRECT";"";""
"Marcus Morris";"CORRECT";"";""
"Ish Smith";"CORRECT";"";""
"Miles Plumlee";"CORRECT";"";""
"Kentavious Caldwell-Pope";"CORRECT";"";""
"Greg Monroe";"SEMICORRECT";"harvey";"gretna"
"Eric Bledsoe";"CORRECT";"";""
"Ben McLemore";"SEMICORRECT";"";"st.louis"
"Aaron Gray";"CORRECT";"";""
"Jeff Adrien";"CORRECT";"";""
"Ramon Sessions";"CORRECT";"";""
"Kirk Hinrich";"CORRECT";"";""
"Luol Deng";"SEMICORRECT";"sudan";"wau"
"Khris Middleton";"CORRECT";"";""
"Larry Sanders";"CORRECT";"";""
"Tony Allen";"CORRECT";"";""
"Quincy Pondexter";"CORRECT";"";""
"Vince Carter";"CORRECT";"";""
"Samuel Dalembert";"SEMICORRECT";"haiti";"port-au-prince"
"Monta Ellis";"CORRECT";"";""
"James Harden";"SEMICORRECT";"bellflower";"losangeles"
"Tyreke Evans";"CORRECT";"";""
"Luke Babbitt";"CORRECT";"";""
"Jrue Holiday";"SEMICORRECT";"missionhills";"chatsworth"
"Jon Leuer";"CORRECT";"";""
"Zach Randolph";"CORRECT";"";""
"Josh McRoberts";"CORRECT";"";""
"Kawhi Leonard";"CORRECT";"";""
"Bismack Biyombo";"SEMICORRECT";"zaire";"lubumbashi"
"Malcolm Thomas";"CORRECT";"";""
"Kyle Korver";"CORRECT";"";""
"Shelvin Mack";"CORRECT";"";""
"Chris Andersen";"SEMICORRECT";"iola";"longbeach"
"Ray Allen";"CORRECT";"";""
"Gustavo Ayon";"UNCORRECT";"Gustavo Ayon";"Gustavo Ayón"
"Maurice Harkless";"CORRECT";"";""
"Dewayne Dedmon";"CORRECT";"";""
"Ronnie Price";"CORRECT";"";""
"J.J. Hickson";"UNCORRECT";"J.J. Hickson";"JJ Hickson"
"Victor Oladipo";"SEMICORRECT";"silverspring";"uppermarlboro"
"Kyle O'Quinn";"SEMICORRECT";"queens";"jamaica"
"JaVale McGee";"CORRECT";"";""
"Kevin Martin";"CORRECT";"";""
"Damian Lillard";"UNCORRECT";"1990-07-05";"1990-07-15"
"Ronny Turiaf";"SEMICORRECT";"";"lerobert"
"Wesley Matthews";"CORRECT";"";""
"Robin Lopez";"CORRECT";"";""
"Russell Westbrook";"CORRECT";"";""
"Trey Burke";"CORRECT";"";""
"Courtney Lee";"CORRECT";"";""
"Chris Johnson";"SEMICORRECT";"orlando";"columbus"
"Gerald Wallace";"CORRECT";"";""
"MarShon Brooks";"CORRECT";"";""
"Keith Bogans";"SEMICORRECT";"washington";"washington,d.c."
"Vander Blue";"CORRECT";"";""
"Chris Babb";"SEMICORRECT";"wichita";"topeka"
"Joel Anthony";"SEMICORRECT";"canada";"montreal"
"Avery Bradley";"CORRECT";"";""
"Jordan Crawford";"CORRECT";"";""
"Jerryd Bayless";"CORRECT";"";""
"Chandler Parsons";"CORRECT";"";""
"Tony Parker";"SEMICORRECT";"belgium";"bruges"
"Manu Ginobili";"UNCORRECT";"Manu Ginobili";"Manu Ginóbili"
"Paul George";"CORRECT";"";""
